AGAF, Afutara Aerodrome
AGAR, Ulawa Airport
AGAT, Uru Harbour Airport
AGBA, Barakoma Airport
AGBT, Batuna Aerodrome
AGEV, Geva Airport
AGGA, Auki Airport
AGGB, Bellona/Anua Airport
AGGC, Choiseul Bay Airport
AGGE, Ballalae Airport
AGGF, Fera/Maringe Airport
AGGH, Honiara International Airport
AGGI, Babanakira Airport
AGGJ, Avu Avu Airport
AGGK, Ngorangora Airport
AGGL, Santa Cruz/Graciosa Bay/Luova Airport
AGGM, Munda Airport
AGGN, Nusatupe Airport
AGGO, Mono Airport
AGGP, Parasi Airport
AGGR, Rennell/Tingoa Airport
AGGS, Sege Airport
AGGT, Santa Ana Airport
AGGU, Marau Airport
AGGV, Suavanao Airport
AGGY, Yandina Airport
AGKG, Kagau Island Airport
AGKW, Kwailabesi Airport
AGOK, Gatokae Airport
AGRC, Ringi Cove Airport
AGRM, Ramata Airport
ANYN, Nauru International Airport
AYAI, Aitape Airport
AYAM, Amanab Airport
AYAN, Andakombe Airport
AYAO, Aiome Airport
AYAQ, Kompiam Airport
AYAT, Ambunti Airport
AYAW, Awaba Airport
AYAY, Aiyura Airport
AYBA, Baimuru Airport
AYBG, Baindoung Airport
AYBK, Buka Airport
AYBM, Balimo Airport
AYBU, Bulolo Airport
AYBW, Blackwara Airport
AYCH, Chimbu Airport
AYDE, Derim Airport
AYDS, Dusin Airport
AYDU, Daru Airport
AYED, Edwaki Airport
AYFA, Fane Airport
AYFI, Finschhafen Airport
AYFR, Frieda River Airport
AYGA, Goroka Airport
AYGB, Gobe Airport
AYGG, Garasa Airport
AYGI, Garaina Airport
AYGN, Gurney Airport
AYGP, Gusap Airport
AYGR, Girua Airport
AYGT, Gasmata Island Airport
AYGV, Green River Airport
AYGW, Guwasa Airport
AYHA, Haia Airport
AYHK, Kimbe Airport
AYKA, Losuia Airport
AYKB, Kabwum
AYKC, Kandrian Airport
AYKI, Kiunga Airport
AYKK, Kikori Airport
AYKM, Kerema Airport
AYKO, Kokoda Airport
AYKT, Kaintiba Airport
AYKU, Kuri Airport
AYKV, Kavieng Airport
AYKW, Kawito Airport
AYKY, Londolovit Airport
AYLM, Lake Murray Airport
AYLU, Lumi Airport
AYMC, Menyamya Airport
AYMD, Madang Airport
AYMH, Mount Hagen Kagamuga Airport
AYMI, Mindik Airport
AYMK, Mok Airport
AYML, Mougulu Airport
AYMN, Mendi Airport
AYMO, Momote Airport
AYMR, Moro Airport
AYMS, Misima Island Airport
AYNE, Negarbo(Negabo) Airport
AYNG, Manguna Airport
AYNU, Nuku Airport
AYNZ, Lae Nadzab Airport
AYOG, Ogeranang Airport
AYOM, 
AYPD, Pindiu Airport
AYPU, Puri Airport
AYPW, Panakawa Airport
AYPY, Port Moresby Jacksons International Airport
AYQA, Karawari Airstrip
